Submitter,Filename,Score (/5),Plagiarism Score,Plagiarism Level,Top Classmate Similarity,AI Generated Score,AI Generated Level,Relevance
28cse A1 B2 29 Exp01,28CSE_A1_B2_29_Exp01.pdf,2.32,1.0,HIGH,1.0,0.2835,LOW,0.353
28cse A1 B2 24 1 Ai,28CSE_A1_B2_24_EXP_1_AI.pdf,2.45,0.3614,LOW,0.3614,0.1977,LOW,0.1491
28cse A1 B1 12 Exp01,28CSE_A1_B1_12_EXP01.pdf,2.75,0.2817,LOW,0.2817,0.2554,LOW,0.265
A1 06 Expt01 Ai Gc,A1-06-Expt01-AI_Gc.pdf,2.43,1.0,HIGH,1.0,0.2462,LOW,0.2825
A1 03 Exp01 Ai Gc,A1-03_Exp01_AI_GC.pdf,3.0,0.3874,LOW,0.3874,0.2538,LOW,0.3263
A1 B2 Practical1 A1 Gc,A1_B2_PRACTICAL1_A1_GC.pdf,3.09,1.0,HIGH,1.0,0.2778,LOW,0.3484
A1 B1 11 Exp1 Ai Gc,A1_B1_11_Exp1_AI_GC.pdf,2.48,0.2851,LOW,0.2851,0.208,LOW,0.2316
28csea1 B1 18 Exp01 Ai Gc,28CSEA1_B1_18_Exp01_AI_GC.pdf,3.02,0.245,LOW,0.245,0.2544,LOW,0.2829
28cse033 Exp01 Ai Gc,28CSE033_Exp01_AI_GC.pdf,2.82,0.4087,LOW,0.4087,0.2937,LOW,0.3097
28cse025 Exp01 Ai Gc,28CSE025_Exp01_AI_GC.pdf,3.08,0.2184,LOW,0.2184,0.2828,LOW,0.2102
28cse014 Exp01 Ai Gc,28CSE014_Exp01_AI_GC.pdf,2.6,0.7405,MEDIUM,0.7405,0.2842,LOW,0.1975
28cse014 Exp01 Ai Gc 3,28CSE014_Exp01_AI_GC(3).pdf,2.43,0.9874,HIGH,0.9874,0.2271,LOW,0.1395
28cse014 Exp01 Ai Gc 2,28CSE014_Exp01_AI_GC(2).pdf,2.44,0.9874,HIGH,0.9874,0.2218,LOW,0.1395
28cse08 Exp01 Ai Gc,28CSE08_Exp01_AI_GC.pdf,3.32,0.2393,LOW,0.2393,0.2659,LOW,0.283
28cse04 Exp01 Ai Gc,28CSE04_Exp01_AI_GC.pdf,3.11,0.3915,LOW,0.3915,0.2769,LOW,0.3427
28cse002 Exp01 Ai Gc,28CSE002_Exp01_AI_GC.pdf,3.02,0.2812,LOW,0.2812,0.2742,LOW,0.2612
28cse001 Exp01 Ai Gc,28CSE001_Exp01_AI_GC.pdf,2.58,0.2378,LOW,0.2378,0.2164,LOW,0.2079
28cse001 Exp01 A1 Gc,28CSE001_Exp01_A1_GC.pdf,2.88,0.2375,LOW,0.2375,0.2295,LOW,0.1986
28cse Exp01 A1 B2 27 Ai,28CSE_EXP01_A1_B2_27_AI.pdf,2.63,0.8784,HIGH,0.8784,0.2585,LOW,0.324
28cse A1 B2 30 01,28CSE_A1_B2_30_EXP_01.pdf,2.28,0.2699,LOW,0.2699,0.2287,LOW,0.2044
28cse A1 B2 27 Exp1,28CSE_A1_B2_27_EXP1.pdf,2.76,0.8784,HIGH,0.8784,0.2726,LOW,0.3361
28cse A1 B2 26 Exp01 Ai,28CSE_A1_B2_26_EXP01_AI_GC.pdf,3.24,0.5215,LOW,0.5215,0.2822,LOW,0.3411
28cse A1 B2 21 Exp01,28CSE_A1_B2_21_EXP01.pdf,2.44,0.3492,LOW,0.3492,0.2788,LOW,0.2951
28cse A1 B2 20 Exp01,28CSE_A1_B2_20_Exp01.pdf,3.04,0.3484,LOW,0.3484,0.2823,LOW,0.3533
28cse A1 B2 19 Exp1,28CSE_A1_B2_19_Exp1.pdf,2.95,0.4649,LOW,0.4649,0.2835,LOW,0.3726
28cse A1 B1 17 Exp1,28CSE_A1_B1_17_EXP1.pdf,2.98,0.3482,LOW,0.3482,0.2419,LOW,0.3545
28cse A1 B1 16 Exp01,28CSE_A1_B1_16_EXP01.pdf,0.5,0.0,LOW,0.0,0.0,LOW,0.0
28cse A1 B1 15 Exp01 Ai,28CSE_A1_B1_15_exp01_AI_GC.pdf,3.1,0.3471,LOW,0.3471,0.2773,LOW,0.3383
28cse A1 B1 09 Exp1,28CSE_A1_B1_09_EXP1.pdf,2.99,0.2966,LOW,0.2966,0.2996,LOW,0.262
28cse A1 B1 07 Exp01,28CSE_A1_B1_07_EXP01.pdf,3.12,0.4119,LOW,0.4119,0.2858,LOW,0.3606
28cse A1 B1 05 Exp01,28CSE_A1_B1_05_Exp01.pdf,2.55,0.5215,LOW,0.5215,0.2921,LOW,0.2895
28 Experiment01 Ai Gc,28_Experiment01_AI_GC.pdf,2.75,0.2972,LOW,0.2972,0.2255,LOW,0.3581
28 Cse 22 Exp01 Ai Gc,28_CSE_22_EXP01_AI_GC.pdf,1.89,0.3915,LOW,0.3915,0.2662,LOW,0.2266
13 Exp01 Ai Gc,13_Exp01_AI_GC.pdf,2.93,0.37,LOW,0.37,0.2679,LOW,0.3495
Cse,28CSE_A1_B2_29_Exp01.pdf,2.32,1.0,HIGH,1.0,0.2835,LOW,0.353
Ai Gc,A1-06-Expt01-AI_Gc.pdf,2.43,1.0,HIGH,1.0,0.2462,LOW,0.2825
Gc,A1_B2_PRACTICAL1_A1_GC.pdf,3.09,1.0,HIGH,1.0,0.2778,LOW,0.3484
